ID;Tipo de Producto;Nombre;Descripci¢n;Descripci¢n Corta;Categor°as;Nombre variante;Nombre opci¢n;Stock;Peso;Precio;Tipo Descuento;Valor Descuento;Impuesto;Marca;Proveedor;Referencia Proveedor;C¢digo de Producto;Estado;Coste;R¢tulo de Marketing;Fecha Etiq. Mark.;Segunda mano;En Portada;Tags;Im†genes;Personalizaciones
7295638;0;COPA DE VINO SUBLYM 55 cl, GRABADA CON SU LOGO;<h2>Copa de Vino Personalizada Sublym 55 cl</h2><h3>En dos medidas y vol£menes</h3><h3>Con precio TODO INCLUIDO</h3><p><strong>MARCA: </strong>Cheff & Sommelier</p><p><strong>TIPO CRISTAL: </strong>Krista, sistema bajo en plomo con transparencia y sonoridad excepcional</p><p><strong>GAMA: </strong>Alta</p><p><strong>MEDIDAS: 55 cl. y 260 mm de altura. </strong></p><p><strong>PERSONALIZACI‡N:</strong> A l†ser, con posibilidad de hacerlo a color.   Solicite presupuesto para color</p>;<h3>Copa de Vino Personalizada Sublym 55 cl</h3><h4>En dos medidas y vol£menes</h4><h5>Con precio TODO INCLUIDO</h5>;Cristaler°a Personalizada para Hosteler°a y Restauraci¢n>COPAS VINO PERSONALIZADAS  CON SU LOGO | PRODUCTOS PERSONALIZADOS| Cristaler°a Personalizada para Hosteler°a y Restauraci¢n>COPAS VINO PERSONALIZADAS  CON SU LOGO >Copas de Vino Gama Alta en Cristal;GRABADA A LµSER SUBLYM 55 cls.;;;;;;;21;CHEFF & SOMMELIER;;;;1;;PRECIO DESDE 48 uds. ;;0;1;;;[TU LOGO MµXIMO 45 MM][Adjunta tu logo en png, jpg o pdf][0.0000][0][6]
;;;;;;;De 48  a 96 uds. (m£ltiplos de 12) grabada a l†ser;;;0;;;;;;;;;;;;;;;;
;;;;;;;De 96 a 192 uds. (m£ltiplos de 12) grabada a l†ser;;;0;;;;;;;;;;;;;;;;
;;;;;;;De 192 a 384  uds. (m£ltiplos de 12) grabada a l†ser;;;0;;;;;;;;;;;;;;;;
;;;;;;;De 384 uds. en adelante (m£ltiplos de 12) grabada a l†ser;;;0;;;;;;;;;;;;;;;;
7295934;0;COPA VINA 35 cl. GRABADA CON SU LOGO Y EN LA MEDIDA ‡PTIMA;"<h2>Copa Vino Personalizada. Vina 35 cl.</h2><h3>En tres medidas y vol£menes</h3><h3>Personalizadas con tu logo y con precio de TODO INCLUIDO</h3><p>En el mundo de la hosteler°a y de las <strong>copas de vino</strong>, Çsta tiene dos hermanas mayores que son muy comercializables, con 58 y 47 cl.</p><p>Una <strong>copa de vino personalizada</strong> con su logo, con la <strong>medida ¢ptima</strong> para que usted pueda garantizarse que saca 6 <strong>copas de vino</strong> por botella.</p><p>La <strong>Copa de Vino Grabada</strong> con su logo en la <strong>medida ¢ptima</strong> es f†cilmente amortizable, por lo general son pocos los hosteleros que saben con exactitud cu†ntas copas sacan por botella, en unos casos porque el cliente exige m†s cantidad y en otros porque el camarero es m†s que generoso, se sufren pÇrdidas que no deber°an producirse.</p><table class=""table""><tbody><tr><td><strong>MARCA:</strong></td><td>Arcoroc</td></tr><tr><td><strong>MODELO:</strong></td><td>Vina</td></tr><tr><td><strong>GAMA</strong>:</td><td>Media</td></tr><tr><td><strong>MEDIDAS:</strong></td><td>58 cl. (230 mm de altura. 47 cl. (220 mm de altura) y <strong>35 cl. (202 mm)</strong></td></tr><tr><td><strong>TIPO DE CRISTAL:</strong></td><td>Vidrio Recocido</td></tr></tbody></table>";<h4>Copa Vino Personalizada. Vina 35 cl.</h4><h5>En tres medidas y vol£menes</h5><h4>Personalizadas con tu logo </h4><h5>Con precio de TODO INCLUIDO</h5>;Cristaler°a Personalizada para Hosteler°a y Restauraci¢n>COPAS VINO PERSONALIZADAS  CON SU LOGO ;VINA 35 cl.;;;;;;;21;ARCOROC HOSTELER÷A/PHCOM;;;;1;;PRECIO DESDE 48 uds. ;;0;1;;;[ADJUNTA AQU÷ TU LOGO][en formato pdf, png o jpg][0.0000][0][6]|[LOGO MµS DE 45 MM*45MM][QUIERO INFORMACI‡N PARA LOGO SUPERIOR A 45 MM*45MM][][0][5]
;;;;;;;De 48 a 96 uds. (m£ltiplos de 12) grabada a l†ser;;;0;;;;;;;;;;;;;;;;
;;;;;;;De 96 a 192 uds. (m£ltiplos de 12) grabada a l†ser;;;0;;;;;;;;;;;;;;;;
;;;;;;;De 192 a 384 uds. (m£ltiplos de 12) grabada a l†ser;;;0;;;;;;;;;;;;;;;;
;;;;;;;De 384 uds. en adelante (m£ltiplos de 12) grabada a l†ser;;;0;;;;;;;;;;;;;;;;
7303108;0;COPA GRAND CEPAGE 62 cl, GRABADA CON SU LOGO;"<p><strong></strong></p><h3>Copa de Vino Grand Cepage 62cl Personalizada</h3><h3>En dos medidas y vol£menes:  47 cl. y 62 cl.</h3><h3>Precio con TODO INCLUIDO</h3><table class=""table""><tbody><tr><td><strong>MARCA:</strong></td><td>Cheff & Sommelier</td></tr><tr><td><strong>TIPO CRISTAL:</strong></td><td>Krista, sistema bajo en plomo con transparencia y sonoridad excepcional</td></tr><tr><td><strong>GAMA:</strong></td><td>Alta</td></tr><tr><td><strong>MEDIDAS: </strong></td><td>62 cl. con 238 mm de altura. </td></tr></tbody></table>";<h3>Copa de Vino Grand Cepage 62 cl Personalizada</h3><h4>En dos medidas y vol£menes:  47 cl. y 62 cl.</h4><h5>Precio con TODO INCLUIDO</h5>;Cristaler°a Personalizada para Hosteler°a y Restauraci¢n| Cristaler°a Personalizada para Hosteler°a y Restauraci¢n>COPAS VINO PERSONALIZADAS  CON SU LOGO | PRODUCTOS PERSONALIZADOS| Cristaler°a Personalizada para Hosteler°a y Restauraci¢n>JARRAS DE CERVEZA. VASOS Y COPAS>GRABADOS A LASER| Cristaler°a Personalizada para Hosteler°a y Restauraci¢n>COPAS VINO PERSONALIZADAS  CON SU LOGO >Copas de Vino Gama Alta en Cristal;GRAND CEPAGE 62cl;;;;;;;21;CHEFF & SOMMELIER;;;;1;;PRECIO DESDE 48 uds. ;;0;1;;;[ADJUNTA AQU÷ TU LOGO: JPG, PNG, o el de tu dise§ador directamente PDF,][][][0][6]|[LOGO MµS DE 45 MM*45MM][QUIERO INFORMACI‡N PARA LOGO SUPERIOR A 45MM*45MM][][0][5]
;;;;;;;De 48 a 96 uds.  (m£ltiplos de 12) grabada a l†ser;;;0;;;;;;;;;;;;;;;;
;;;;;;;De 96 a 192 uds. (m£ltiplos de 12) grabada a l†ser;;;0;;;;;;;;;;;;;;;;
;;;;;;;De 192 a 384 uds. (m£ltiplos de 12) grabada a l†ser;;;0;;;;;;;;;;;;;;;;
;;;;;;;De 384 uds. en adelante 8m£ltiplos de 12) grabada a l†ser;;;0;;;;;;;;;;;;;;;;
